#gene	pmid_counts
7157	9059
7124	5563
1956	5127
7422	4327
3569	4213
348	4171
7040	3986
4524	3381
2099	3016
207	3003
3586	2876
4790	2875
3091	2832
672	2711
2064	2682
3123	2633
4318	2633
3553	2611
1636	2492
351	2470
6774	2437
110806262	2408
1499	2402
1029	2215
367	2185
5243	2170
7099	2160
3845	2157
6532	2153
2944	2097
3576	2091
5743	2091
9370	2051
5728	2018
673	2012
5594	2001
1401	1988
3106	1975
920	1972
5468	1943
4846	1931
627	1873
4609	1833
7421	1825
596	1823
3458	1816
7852	1797
999	1782
2475	1765
2952	1755
1312	1754
4193	1751
3479	1686
4313	1674
675	1674
7015	1604
1026	1555
1080	1552
3952	1547
6622	1531
1234	1486
2950	1486
4137	1484
3105	1449
3119	1449
595	1441
3717	1418
2147	1374
5970	1349
7097	1333
5595	1326
6347	1326
5054	1315
5290	1309
6714	1288
1432	1270
2153	1266
6387	1226
3688	1187
4851	1185
472	1178
332	1158
2932	1155
5925	1153
3383	1144
355	1142
7515	1141
3565	1130
3725	1120
1813	1118
3605	1116
4233	1100
836	1098
2100	1095
3690	1095
960	1094
4780	1090
5444	1084
23411	1078
2033	1075
1493	1063
6667	1059
5879	1049
6647	1044
1543	1042
2908	1027
183	1025
406991	1016
154	1001
3480	999
3815	995
7316	995
142	986
3065	967
3557	967
581	961
1027	957
3162	955
4879	955
1565	954
5599	944
3320	942
3107	940
335	935
3606	930
6696	929
3077	926
1557	923
4292	916
3146	901
3552	901
3791	901
387	895
857	892
29126	891
185	885
4312	881
64127	867
7450	866
50943	865
1559	864
2146	862
3630	860
5747	853
6648	850
5578	836
6772	833
5979	817
177	816
2068	816
120892	813
841	813
1576	810
3135	807
8743	804
51738	801
1906	800
324	789
983	788
1387	787
3558	785
25	784
6531	781
3117	779
338	772
2885	771
8626	762
4088	759
4843	757
4582	752
2247	748
3075	748
2706	743
4153	742
9429	741
4436	739
5621	736
1017	733
3043	732
5071	729
1588	728
3265	727
4869	723
3949	720
3082	719
1869	718
929	717
5663	716
4023	704
4000	703
4288	703
7428	702
1457	701
5781	698
1277	693
5241	692
19	688
4314	687
5111	687
7132	687
109580095	686
1950	686
5295	686
6352	680
6934	680
79068	679
10	677
4089	672
3958	667
2321	665
2335	664
1815	663
3356	660
598	659
3309	658
4982	657
861	656
54106	654
3486	653
867	650
1577	648
5133	646
54658	645
356	638
2322	637
2067	636
6790	635
5580	632
4282	631
3308	627
1071	626
1571	626
4255	625
10413	623
7490	622
3643	621
3481	620
5347	619
3934	616
7076	613
2332	610
3953	610
4170	610
3417	608
217	606
3596	606
5888	603
650	602
3064	601
4792	598
998	597
10891	594
1385	594
238	594
2157	591
5566	589
7161	589
2152	588
7098	583
60489	580
8600	576
3627	572
3039	571
2263	570
3303	570
3757	570
3685	569
4353	569
7189	568
4204	567
406938	565
6331	564
5894	563
1786	562
23435	562
4968	561
4049	560
328	558
5265	556
718	556
8878	554
2534	553
5591	553
958	553
2260	552
3312	551
2697	548
5465	548
7298	547
4128	546
114548	545
2309	545
4087	545
5460	545
3066	543
3315	543
11200	538
1728	538
5328	538
5371	537
3667	535
406947	532
5329	532
7412	531
1586	530
213	530
3784	528
3593	526
7291	526
7431	526
56729	525
6513	524
7341	523
196	522
282617	519
2308	518
331	517
1545	516
682	515
6657	510
8842	508
3551	507
1019	506
26191	506
4988	504
7276	503
959	497
7048	496
2778	493
3932	492
108684022	491
1490	490
1191	488
4323	488
7430	488
1471	486
2261	486
3559	486
3689	483
4893	482
7534	482
6850	481
729230	479
7415	478
100507436	477
648	476
6464	474
60	473
10135	469
1111	469
2034	469
4297	469
545	469
860	468
6469	467
7057	465
7517	465
2212	463
1147	462
5156	462
1544	460
3172	459
5159	458
2065	457
407040	457
5430	457
7046	457
255738	455
5058	455
7329	455
3084	454
811	454
302	453
4683	453
801	453
